               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.070887,            0.046545,             0.02425,            0.010603,           0.0020369,          0.00046019,              0.1109,            0.066418,            0.041243,             0.00012,             0.00012,             0.09892
                   1,             0.11004,            0.079047,            0.038141,              0.0192,            0.040121,           0.0077949,           0.0015596,             0.10256,            0.071462,            0.031537,          0.00024999,          0.00024999,             0.09775
                   2,              0.1029,            0.079495,            0.030079,            0.045063,             0.16525,            0.031978,           0.0062039,            0.093258,            0.071739,            0.022904,          0.00037996,          0.00037996,             0.09658
                   3,            0.092669,            0.078611,            0.022484,             0.37951,             0.22046,             0.11744,            0.026437,            0.087145,            0.078091,            0.015044,          0.00050989,          0.00050989,             0.09541
                   4,            0.085146,            0.068364,            0.015012,             0.61734,             0.27891,             0.10688,            0.022374,            0.086003,            0.093018,           0.0076497,          0.00063975,          0.00063975,             0.09424
                   5,            0.080074,            0.060279,            0.010846,             0.72904,             0.32946,             0.27484,            0.072845,            0.065821,            0.061576,           0.0053018,          0.00076953,          0.00076953,             0.09307
                   6,            0.080105,             0.06028,           0.0086075,             0.63487,             0.52742,             0.50793,             0.18053,            0.062683,             0.05228,           0.0045721,           0.0008992,           0.0008992,            0.091899
                   7,            0.077024,            0.056869,           0.0073944,             0.68059,             0.56771,             0.53376,             0.15975,            0.074471,            0.045083,           0.0045496,           0.0010288,           0.0010288,            0.090729
                   8,            0.076815,            0.054654,           0.0068405,              0.5452,             0.65701,             0.44258,             0.12213,            0.070339,            0.044744,           0.0040421,           0.0011582,           0.0011582,            0.089558
                   9,            0.076232,            0.052369,           0.0063718,             0.60873,             0.50374,             0.38575,             0.12179,            0.069119,            0.043062,           0.0038506,           0.0012874,           0.0012874,            0.088387
