               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043627,            0.042846,            0.002309,             0.83271,             0.91747,             0.88944,             0.52605,            0.032375,            0.033517,           0.0019973,           0.0046483,           0.0046483,            0.056648
                  37,            0.045652,            0.041296,           0.0021577,             0.90813,             0.94815,             0.96043,             0.57466,            0.036575,            0.033532,           0.0019412,           0.0047655,           0.0047655,            0.055466
                  38,             0.04416,             0.04322,           0.0022174,             0.91462,             0.95164,             0.96571,             0.56421,             0.03366,            0.033114,           0.0018061,           0.0048821,           0.0048821,            0.054282
                  39,             0.04316,             0.04079,           0.0021839,             0.75477,              0.9361,             0.90125,             0.47253,            0.035651,            0.032751,           0.0017773,           0.0049979,           0.0049979,            0.053098
                  40,            0.044659,              0.0409,           0.0020911,             0.73081,             0.89391,             0.86881,             0.46388,            0.036776,            0.033502,           0.0018503,            0.005113,            0.005113,            0.051913
                  41,            0.044498,            0.042727,           0.0021314,             0.87008,             0.93479,             0.94947,             0.58431,            0.034771,            0.032541,            0.001733,           0.0052274,           0.0052274,            0.050727
                  42,            0.042044,            0.039933,           0.0020321,             0.87867,             0.94824,             0.96418,             0.57793,            0.033015,            0.034563,           0.0017591,            0.005341,            0.005341,            0.049541
                  43,             0.04083,            0.039101,           0.0019145,             0.93217,             0.93205,             0.96696,             0.59277,            0.032982,            0.032843,           0.0016628,           0.0054539,           0.0054539,            0.048354
                  44,            0.040323,            0.041252,            0.001839,             0.90614,             0.94167,             0.95507,             0.60538,            0.033992,             0.03394,           0.0018361,           0.0055659,           0.0055659,            0.047166
                  45,            0.040107,            0.038701,           0.0019183,             0.85394,             0.90508,             0.93909,             0.47149,            0.032256,            0.033024,           0.0017101,           0.0056772,           0.0056772,            0.045977
                  46,            0.043169,            0.040667,           0.0020424,             0.84097,             0.80517,             0.81276,             0.48398,            0.035804,            0.038535,           0.0017283,           0.0057876,           0.0057876,            0.044788
                  47,            0.042346,            0.039259,           0.0019077,             0.83944,              0.9396,             0.93552,              0.5943,            0.032043,            0.032938,           0.0017107,           0.0058972,           0.0058972,            0.043597
                  48,            0.040496,             0.03914,           0.0018248,             0.94652,             0.93726,             0.97081,             0.58252,            0.033236,              0.0319,           0.0014933,            0.006006,            0.006006,            0.042406
                  49,            0.041687,            0.040686,            0.001694,             0.93703,             0.96547,             0.97149,             0.56075,            0.034114,             0.03367,           0.0016368,           0.0061139,           0.0061139,            0.041214
                  50,            0.040515,            0.038941,           0.0017566,             0.86814,              0.9053,             0.94235,             0.59281,            0.033095,             0.03317,           0.0015377,           0.0062209,           0.0062209,            0.040021
                  51,            0.039331,            0.038657,           0.0017322,             0.88363,             0.91152,             0.93216,             0.56297,            0.032224,             0.03355,           0.0016154,            0.006327,            0.006327,            0.038827
                  52,            0.039649,            0.039242,            0.001824,             0.87463,             0.92701,             0.95861,             0.54844,            0.033434,            0.033297,           0.0015454,           0.0064322,           0.0064322,            0.037632
