               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.070886,            0.046545,            0.024468,            0.010603,           0.0020581,          0.00046979,              0.1109,            0.066426,            0.041246,             0.00012,             0.00012,             0.09892
                   1,             0.11004,            0.079048,            0.038142,            0.018816,             0.03925,           0.0074354,           0.0014662,             0.10253,            0.071502,             0.03155,          0.00024999,          0.00024999,             0.09775
                   2,              0.1029,            0.079499,            0.030081,             0.04478,             0.15922,             0.03171,           0.0062973,            0.093224,            0.071766,            0.022922,          0.00037996,          0.00037996,             0.09658
                   3,            0.092663,            0.078613,            0.022487,             0.37387,             0.21061,              0.1137,            0.025593,            0.087089,            0.078109,            0.015069,          0.00050989,          0.00050989,             0.09541
                   4,            0.085601,            0.068307,            0.015019,             0.61243,             0.27609,             0.10715,            0.023132,             0.08154,            0.091143,           0.0076372,          0.00063975,          0.00063975,             0.09424
                   5,            0.079744,            0.060494,            0.010815,             0.65427,             0.31798,             0.16763,            0.033953,             0.07552,            0.062601,           0.0052355,          0.00076953,          0.00076953,             0.09307
                   6,            0.078611,            0.060787,           0.0086099,             0.63296,             0.52742,             0.46652,             0.14264,            0.060676,            0.052011,           0.0045924,           0.0008992,           0.0008992,            0.091899
                   7,            0.077124,            0.056909,           0.0073568,             0.79708,             0.45091,             0.57313,             0.23761,            0.058186,            0.048181,           0.0040963,           0.0010288,           0.0010288,            0.090729
                   8,            0.076563,            0.055077,           0.0065759,             0.57986,             0.65737,             0.49283,             0.13327,            0.068504,            0.043825,           0.0039077,           0.0011582,           0.0011582,            0.089558
                   9,             0.07428,            0.052577,           0.0062619,              0.3618,             0.75599,             0.48563,             0.14779,            0.060165,              0.0437,           0.0035972,           0.0012874,           0.0012874,            0.088387
                  10,            0.073458,            0.051131,           0.0055416,             0.67084,             0.36547,             0.41229,             0.12979,            0.071793,            0.041218,           0.0035664,           0.0014165,           0.0014165,            0.087216
                  11,             0.07094,            0.049487,           0.0052837,              0.3583,             0.79762,             0.63126,             0.29357,             0.05844,            0.043685,           0.0030049,           0.0015454,           0.0015454,            0.086045
                  12,            0.069107,            0.053075,           0.0048601,             0.32493,             0.85527,             0.54032,             0.16859,            0.067619,            0.047913,           0.0031066,            0.001674,            0.001674,            0.084874
                  13,            0.068608,            0.050028,            0.004767,              0.3955,             0.82019,             0.65459,             0.25247,            0.057966,             0.04208,           0.0028488,           0.0018025,           0.0018025,            0.083702
                  14,            0.066198,            0.050377,           0.0042218,             0.38604,              0.8634,             0.66752,             0.20667,            0.056706,            0.042611,           0.0025865,           0.0019306,           0.0019306,            0.082531
                  15,            0.066868,            0.051665,           0.0040471,             0.52812,             0.81359,             0.74148,             0.29556,            0.049351,            0.040209,           0.0026591,           0.0020585,           0.0020585,            0.081359
                  16,            0.062787,            0.047092,           0.0039004,             0.50653,             0.78108,             0.70217,             0.29046,            0.053103,            0.041199,           0.0025098,           0.0021861,           0.0021861,            0.080186
                  17,            0.060601,            0.048084,           0.0037274,             0.44946,             0.84474,             0.74233,             0.33957,            0.051333,            0.039118,           0.0025158,           0.0023134,           0.0023134,            0.079013
                  18,            0.060489,            0.046415,           0.0037339,             0.51142,             0.80013,             0.77266,             0.36809,            0.047467,            0.039812,           0.0024258,           0.0024404,           0.0024404,             0.07784
                  19,            0.060832,            0.050049,           0.0034236,             0.43382,             0.90802,             0.74258,             0.24788,            0.052309,            0.037998,           0.0024507,            0.002567,            0.002567,            0.076667
                  20,            0.057997,            0.048618,           0.0032634,             0.54409,             0.90759,             0.86867,             0.39594,            0.046123,            0.038321,           0.0022745,           0.0026933,           0.0026933,            0.075493
                  21,            0.055862,            0.044503,            0.003424,                0.49,             0.89349,               0.772,             0.30861,            0.041029,            0.038029,           0.0022716,           0.0028191,           0.0028191,            0.074319
                  22,            0.053643,            0.045272,           0.0032645,             0.54053,             0.95215,             0.81619,             0.41355,            0.041424,            0.036026,            0.002274,           0.0029446,           0.0029446,            0.073145
                  23,            0.054563,            0.044942,           0.0031485,             0.57402,             0.89914,             0.81045,             0.35307,            0.040773,            0.036126,           0.0022672,           0.0030696,           0.0030696,             0.07197
                  24,            0.052045,            0.044509,            0.002909,              0.7322,             0.91938,             0.94648,             0.50151,            0.040863,            0.036442,           0.0019573,           0.0031942,           0.0031942,            0.070794
                  25,             0.05304,            0.043822,           0.0028749,             0.56216,             0.91543,             0.78006,             0.31156,            0.039264,            0.035507,           0.0021004,           0.0033183,           0.0033183,            0.069618
                  26,            0.051636,            0.043324,           0.0029249,             0.63826,             0.84336,              0.8165,             0.35503,             0.04102,            0.035717,           0.0022815,            0.003442,            0.003442,            0.068442
                  27,            0.051922,             0.04741,           0.0026395,             0.69311,             0.91254,             0.91905,             0.53906,            0.048308,            0.035427,           0.0019775,           0.0035651,           0.0035651,            0.067265
                  28,            0.050365,            0.043473,           0.0026141,             0.87484,             0.92223,             0.95431,             0.52971,            0.035988,            0.034378,           0.0019478,           0.0036878,           0.0036878,            0.066088
                  29,            0.050541,            0.043724,            0.002643,             0.76778,             0.93649,             0.92707,             0.41866,            0.038049,             0.03455,           0.0022149,           0.0038099,           0.0038099,             0.06491
                  30,            0.048707,             0.04289,           0.0025851,              0.7103,              0.9425,             0.93101,             0.48443,            0.038633,            0.036754,           0.0020106,           0.0039315,           0.0039315,            0.063731
                  31,              0.0492,             0.04279,           0.0026203,             0.71286,             0.92869,             0.89491,             0.38516,            0.041378,            0.035568,           0.0020341,           0.0040525,           0.0040525,            0.062552
                  32,            0.049652,            0.043629,           0.0024849,             0.89949,             0.95025,             0.96514,              0.5626,             0.03931,            0.036399,           0.0023211,           0.0041729,           0.0041729,            0.061373
                  33,            0.046812,            0.041452,           0.0024179,             0.74242,             0.95073,             0.90008,             0.46252,            0.039903,            0.034679,           0.0020084,           0.0042927,           0.0042927,            0.060193
                  34,            0.046014,            0.041204,           0.0023458,             0.93329,             0.93053,             0.96988,             0.60689,            0.038617,            0.033471,           0.0018618,           0.0044119,           0.0044119,            0.059012
                  35,            0.046413,            0.041582,           0.0023243,              0.7707,             0.92139,             0.94051,             0.52416,            0.038101,            0.034376,           0.0018954,           0.0045304,           0.0045304,             0.05783
                  36,            0.044113,             0.04299,             0.00229,             0.84608,             0.93174,             0.89075,             0.52778,            0.036038,            0.034393,           0.0019581,           0.0046483,           0.0046483,            0.056648
                  37,            0.044382,            0.041302,           0.0021827,             0.82002,             0.95298,             0.95454,             0.60691,            0.034702,            0.033964,           0.0020283,           0.0047655,           0.0047655,            0.055466
                  38,            0.046034,            0.043457,           0.0022645,             0.79171,             0.90102,             0.88057,              0.4874,            0.040469,            0.038558,            0.001877,           0.0048821,           0.0048821,            0.054282
                  39,            0.044911,            0.041511,           0.0022299,             0.87974,             0.94465,             0.94601,             0.52845,            0.037394,            0.034997,           0.0019548,           0.0049979,           0.0049979,            0.053098
                  40,            0.044588,            0.040853,           0.0022026,             0.84903,             0.96322,             0.94986,             0.54531,            0.038061,            0.034034,           0.0018463,            0.005113,            0.005113,            0.051913
                  41,            0.042161,            0.042492,           0.0021376,             0.84793,              0.9466,             0.94939,              0.5396,             0.03683,            0.033308,           0.0017603,           0.0052274,           0.0052274,            0.050727
                  42,            0.042289,            0.039946,           0.0020447,             0.89019,             0.95124,             0.95772,             0.61385,            0.032093,             0.03255,           0.0016505,            0.005341,            0.005341,            0.049541
                  43,            0.041929,            0.038961,           0.0019357,             0.89558,             0.87085,             0.91852,             0.54518,            0.033617,            0.033782,           0.0018414,           0.0054539,           0.0054539,            0.048354
                  44,            0.042832,            0.041778,           0.0019123,             0.85262,             0.93361,             0.92241,             0.55782,            0.033097,            0.037095,           0.0019693,           0.0055659,           0.0055659,            0.047166
