               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.070891,            0.046545,            0.019464,            0.011038,           0.0020757,           0.0004819,             0.11089,            0.066441,            0.041248,             0.00012,             0.00012,             0.09892
                   1,             0.11004,            0.079053,             0.03814,            0.019776,            0.040594,           0.0079262,           0.0015438,             0.10244,            0.071596,            0.031553,          0.00024999,          0.00024999,             0.09775
                   2,              0.1029,            0.079502,            0.030081,            0.046693,             0.16612,            0.033294,           0.0064436,            0.093064,            0.071809,            0.022932,          0.00037996,          0.00037996,             0.09658
                   3,            0.092633,             0.07863,            0.022495,             0.39098,             0.22896,             0.12702,            0.026795,            0.085751,            0.076851,            0.015047,          0.00050989,          0.00050989,             0.09541
                   4,            0.085462,            0.068337,            0.015027,             0.60719,             0.28748,             0.10433,            0.023466,            0.079207,            0.085113,           0.0077072,          0.00063975,          0.00063975,             0.09424
                   5,             0.07908,            0.060695,             0.01086,             0.74521,             0.27015,             0.26075,            0.067706,            0.071955,            0.060644,           0.0054965,          0.00076953,          0.00076953,             0.09307
                   6,            0.078346,            0.060879,           0.0086744,             0.53626,             0.61135,             0.47589,             0.15502,            0.059185,            0.051686,           0.0046354,           0.0008992,           0.0008992,            0.091899
                   7,            0.076924,            0.056781,           0.0073231,             0.63565,             0.66317,             0.48612,              0.1629,            0.063302,            0.045649,           0.0048075,           0.0010288,           0.0010288,            0.090729
                   8,            0.077091,            0.055059,           0.0068733,             0.67668,             0.49375,             0.50171,             0.15551,            0.063164,            0.044023,           0.0045473,           0.0011582,           0.0011582,            0.089558
                   9,            0.074388,            0.052408,           0.0063153,             0.64092,             0.51764,             0.45501,             0.19664,            0.071124,            0.044216,           0.0045154,           0.0012874,           0.0012874,            0.088387
                  10,            0.075093,            0.051095,           0.0056227,             0.42527,             0.55742,              0.4792,             0.16045,            0.059114,            0.047988,           0.0047911,           0.0014165,           0.0014165,            0.087216
                  11,            0.071026,            0.049711,           0.0053165,             0.32775,             0.56595,             0.40477,             0.16675,            0.069594,            0.044344,           0.0047247,           0.0015454,           0.0015454,            0.086045
                  12,            0.070124,            0.052528,            0.004946,             0.42502,             0.58567,             0.51888,             0.27263,            0.059736,            0.046505,           0.0053145,            0.001674,            0.001674,            0.084874
